,id,host_acceptance_rate,host_is_superhost,neighbourhood,latitude,longitude,room_type,accommodates,bedrooms,beds,amenities,price_in_dollar,minimum_nights,maximum_nights,has_availability,availability_30,number_of_reviews_l30d,review_scores_rating,instant_bookable,price_per_person,minimum_price,discount_per_5_days_booked,discount_per_10_days_booked,discount_per_30_and_more_days_booked,service_cost,available,five_day_dollar_price
260,2455913,0.52,False,Centrum-Oost,52.34,4.9,Entire home/apt,2,1,1,9,225.0,3,101,True,0,1,4.88,False,112.5,675.0,0.08,0.21,0.3,4.99,0.0136986301369863,1162.945205479452
261,2469007,0.25,False,De Baarsjes - Oud-West,52.38,4.867,Entire home/apt,4,2,2,11,400.0,3,101,True,0,0,4.74,True,100.0,1200.0,0.08,0.19,0.22,10.99,0.15616438356164383,2000.0
262,2471617,0.49,True,Centrum-Oost,52.38,4.902,Entire home/apt,4,2,2,5,144.0,3,101,True,0,9,4.95,False,36.0,432.0,0.05,0.21,0.21,4.99,0.019390581717451522,712.202216066482
263,2474754,0.0,False,Centrum-West,52.38,4.887,Entire home/apt,2,1,1,10,255.0,5,101,True,16,1,4.6,False,127.5,1275.0,0.1,0.25,0.22,4.99,0.9506849315068493,1275.0
264,2476314,0.0,False,Oud-Oost,52.34,4.918,Entire home/apt,5,3,3,10,170.0,12,101,True,0,0,5.0,False,34.0,2040.0,0.07,0.26,0.19,4.99,0.0,850.0
265,2534166,0.84,False,Bos en Lommer,52.38,4.855,Private room,2,1,1,6,65.0,3,30,True,0,0,4.7,False,32.5,195.0,0.06,0.13,0.15,2.99,0.6767123287671233,303.7671232876712
266,2573607,0.0,False,Centrum-West,52.38,4.88,Entire home/apt,2,1,1,5,99.0,3,101,True,0,0,4.79,False,49.5,297.0,0.04,0.12,0.16,4.99,0.0,495.0
267,2623099,1.0,False,De Baarsjes - Oud-West,52.38,4.875,Private room,2,1,1,9,117.0,3,14,True,7,1,4.8,True,58.5,351.0,0.08,0.22,0.16,4.99,0.4301369863013699,595.2465753424658
268,2633912,0.0,False,Centrum-West,52.38,4.883,Entire home/apt,2,1,1,9,136.0,3,4,True,0,0,4.92,False,68.0,408.0,0.06,0.11,0.18,4.99,0.005479452054794521,680.0
269,2638773,1.0,False,Watergraafsmeer,52.34,4.93,Entire home/apt,4,2,2,11,300.0,5,15,True,0,0,4.88,True,75.0,1500.0,0.08,0.26,0.36,4.99,0.4520547945205479,1544.4109589041095
270,2639773,0.66,True,Centrum-West,52.38,4.883,Private room,2,1,1,8,137.0,3,30,True,0,7,4.74,True,68.5,411.0,0.06,0.13,0.18,4.99,0.20994475138121546,733.6049723756906
